%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
73.0, -55.19344354607165, -120.51453617215157, -97.55155044421554, -51.98460938408971, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836213616253E9, 0.0, 2022-05-06 12:23:33.616
73.0, 186.6808461882174, 59.815959891304374, 99.45889942161739, 124.52744882460684, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836213616253E9, 0.0, 2022-05-06 12:23:33.616
0.0, -288.5314116314985, -217.50697157299146, -223.12617125641555, -207.6504652397707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518362136612496E9, 0.0, 2022-05-06 12:23:33.661
1.0, -241.53208888834342, -97.48610219499096, -133.44337031897157, -162.4126353757456, 0.0, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518362136622217E9, 0.0, 2022-05-06 12:23:33.662
1.0, -198.69527479587123, -49.02073866920546, -101.71779899485409, -136.77936107944697, 0.0, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518362136622217E9, 0.0, 2022-05-06 12:23:33.662
2.0, -262.0716194449924, -195.91652912879363, -212.57591348141432, -192.76940331608057, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.65183621369336E9, 0.0, 2022-05-06 12:23:33.693
2.0, -293.5653169718571, -219.04033055482432, -228.04413969814777, -209.10528632253408, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.65183621369336E9, 0.0, 2022-05-06 12:23:33.693
3.0, -233.46886458387598, -89.69589058728889, -120.28266237489879, -155.42276235856116, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518362136951587E9, 0.0, 2022-05-06 12:23:33.695
3.0, -181.92556339455768, -47.5958367860876, -91.90430151112378, -116.91675241477787, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518362136951587E9, 0.0, 2022-05-06 12:23:33.695
4.0, -254.40856443578377, -177.4750824472867, -193.06111551262438, -175.3826084220782, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518362136961384E9, 0.0, 2022-05-06 12:23:33.696
4.0, -297.0434239306487, -217.98193886736408, -226.74639441352338, -215.78474764339626, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518362136961384E9, 0.0, 2022-05-06 12:23:33.696
5.0, -245.88533243676648, -100.83331265533343, -134.53916100598872, -164.75381274800748, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836213706184E9, 0.0, 2022-05-06 12:23:33.706
5.0, -195.78937253030017, -58.49390525696799, -110.58884168975055, -145.38861077744514, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836213706184E9, 0.0, 2022-05-06 12:23:33.706
6.0, -260.6990761612542, -195.7370139309205, -213.92975726537406, -192.06630212441087, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836213707219E9, 0.0, 2022-05-06 12:23:33.707
6.0, -293.6064558713697, -215.95491309138015, -221.8882643710822, -196.056775377132, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836213707219E9, 0.0, 2022-05-06 12:23:33.707
7.0, -228.73041134001687, -80.34614069806412, -116.86065391544253, -144.95104248262942, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518362137202413E9, 0.0, 2022-05-06 12:23:33.720
7.0, -165.01747569488361, -47.95112728187814, -100.40883401036263, -125.3539667148143, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518362137202413E9, 0.0, 2022-05-06 12:23:33.720
8.0, -264.63345091464, -194.4392686462961, -214.68521705642343, -207.96461683604866, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518362137361908E9, 0.0, 2022-05-06 12:23:33.736
8.0, -313.66727923369035, -219.24602505238727, -227.38965720590204, -211.55866069346666, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518362137361908E9, 0.0, 2022-05-06 12:23:33.736
9.0, -238.77204272104427, -89.14986519375816, -129.81940726190805, -168.269318706356, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518362137372017E9, 0.0, 2022-05-06 12:23:33.737
9.0, -213.37064222199842, -73.95839157374576, -113.66677935328335, -141.7758674202487, 0.0800000037997961, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518362137372017E9, 0.0, 2022-05-06 12:23:33.737
10.0, -262.94301613466814, -189.94016899960116, -211.05377419944853, -193.73055760469288, 0.0800000037997961, 0.11200000531971455, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836213750327E9, 0.0, 2022-05-06 12:23:33.750
10.0, -292.69766018213704, -216.17556718876585, -226.61549791507423, -215.05920705199242, 0.0800000037997961, 0.11200000531971455, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836213750327E9, 0.0, 2022-05-06 12:23:33.750
11.0, -240.53353560017422, -90.15215838188305, -120.9109655674547, -160.7409000955522, 0.0800000037997961, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836213766191E9, 0.0, 2022-05-06 12:23:33.766
11.0, -220.98133863182738, -87.97927650762722, -120.3163214745, -154.46908786986023, 0.0800000037997961, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836213766191E9, 0.0, 2022-05-06 12:23:33.766
12.0, -257.31072680139914, -183.63843757426366, -201.4983298126608, -179.8256095694378, 0.11200000531971455, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518362137672784E9, 0.0, 2022-05-06 12:23:33.767
12.0, -251.7307960675098, -174.8758519780822, -187.17077308241278, -168.40769500471652, 0.11200000531971455, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518362137672784E9, 0.0, 2022-05-06 12:23:33.767
13.0, -246.77542862622067, -94.34832613216713, -131.0236550476402, -161.08123099152, 0.11200000531971455, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836213780249E9, 0.0, 2022-05-06 12:23:33.780
13.0, -228.0497495480813, -101.18486325116828, -144.16192359197885, -180.87652145698667, 0.11200000531971455, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836213780249E9, 0.0, 2022-05-06 12:23:33.780
14.0, -256.5103882108815, -186.02075384603813, -208.24136943276972, -195.45091158431023, 0.11200000531971455, 0.04800000227987766, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836213796202E9, 0.0, 2022-05-06 12:23:33.796
