%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -205.27749871788546, -48.70845702290535, -99.07368972618133, -147.63816060079262, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518360644094656E9, 0.0, 2022-05-06 12:21:04.409
1.0, -244.75588265014812, -156.4811540460214, -183.22143872920424, -175.82204666687176, 0.0, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836064422546E9, 0.0, 2022-05-06 12:21:04.422
1.0, -287.8993685389869, -212.65071148052812, -222.2136356672272, -208.53495157929137, 0.0, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836064422546E9, 0.0, 2022-05-06 12:21:04.422
2.0, -257.8380526951514, -119.45240458473563, -145.04453998152167, -173.7651016912423, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518360644394517E9, 0.0, 2022-05-06 12:21:04.439
2.0, -204.97456682147458, -47.9866563314572, -89.3761291410774, -129.51086551556364, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518360644394517E9, 0.0, 2022-05-06 12:21:04.439
3.0, -237.16014584014192, -146.34602516610175, -169.8213771879673, -164.7631624978967, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518360644404573E9, 0.0, 2022-05-06 12:21:04.440
3.0, -271.7355209304951, -203.54779498837888, -208.0281951352954, -190.01870689867064, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518360644404573E9, 0.0, 2022-05-06 12:21:04.440
4.0, -254.52824123436585, -108.08310871943831, -126.86488629691303, -159.8377142562531, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518360644526157E9, 0.0, 2022-05-06 12:21:04.452
4.0, -195.60237753251567, -43.01632929034531, -83.01829921640456, -123.560684686061, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518360644526157E9, 0.0, 2022-05-06 12:21:04.452
5.0, -250.40313158323988, -160.02283930405974, -188.5732355657965, -178.72046913253143, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518360644686332E9, 0.0, 2022-05-06 12:21:04.468
