%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
12.0, -51.90233158506453, -121.31113486271352, -83.29131191316992, -43.12478638906032, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651835811476018E9, 0.0, 2022-05-06 12:16:51.476
12.0, -94.81394367665052, -167.9663868099451, -119.52720258384943, -74.09863782208413, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651835811476018E9, 0.0, 2022-05-06 12:16:51.476
0.0, -172.9329739511013, -20.438553257845342, -70.02401682035998, -112.41017296817154, 0.1600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358115050075E9, 0.0, 2022-05-06 12:16:51.505
1.0, -223.64601735025644, -150.9573218114674, -148.3824006919749, -145.8149593723938, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651835811518006E9, 0.0, 2022-05-06 12:16:51.518
1.0, -249.4139280449599, -173.73705244157463, -176.55506705818698, -182.20792584121227, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651835811518006E9, 0.0, 2022-05-06 12:16:51.518
2.0, -206.08718705829233, -47.13021924160421, -89.40417839074507, -130.66836455184966, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358115349996E9, 0.0, 2022-05-06 12:16:51.534
2.0, -171.77734486479312, -30.020176944322884, -76.17615224746987, -118.91385899111629, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358115349996E9, 0.0, 2022-05-06 12:16:51.534
3.0, -242.65592882502824, -164.91836834605783, -166.0945668821223, -166.42180812824517, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358115360022E9, 0.0, 2022-05-06 12:16:51.536
3.0, -266.5688491417095, -186.50507089029998, -183.63469767430797, -184.41446681506932, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358115360022E9, 0.0, 2022-05-06 12:16:51.536
4.0, -198.26705625094473, -42.54510189592838, -87.13779901759699, -120.55193517170846, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651835811548102E9, 0.0, 2022-05-06 12:16:51.548
4.0, -167.1211694199592, -21.32116964738816, -65.42767977481708, -92.3755289055407, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651835811548102E9, 0.0, 2022-05-06 12:16:51.548
5.0, -227.96934169903398, -160.73342029564083, -166.4311578781344, -166.25725253019482, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358115640483E9, 0.0, 2022-05-06 12:16:51.564
5.0, -258.6140819359571, -186.80800278671086, -186.59669843921438, -190.24497084598988, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358115640483E9, 0.0, 2022-05-06 12:16:51.564
6.0, -203.3907191902399, -46.917044944129884, -94.0977528351359, -124.14597902912647, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358115781004E9, 0.0, 2022-05-06 12:16:51.578
6.0, -165.0417850445956, -27.260130777023733, -77.4252788326703, -104.05897636711597, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358115781004E9, 0.0, 2022-05-06 12:16:51.578
7.0, -240.8158980468288, -159.50673311017454, -167.77752186218277, -173.40046144556254, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116100755E9, 0.0, 2022-05-06 12:16:51.610
7.0, -260.7607845105231, -182.61931483633816, -173.27517479704693, -168.90136179886758, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116100755E9, 0.0, 2022-05-06 12:16:51.610
8.0, -204.3144744792953, -47.99787603132427, -93.16277784621343, -126.37869930267334, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116110086E9, 0.0, 2022-05-06 12:16:51.611
8.0, -177.76492469385266, -35.89929967466742, -83.27448236336932, -122.21245075203478, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116110086E9, 0.0, 2022-05-06 12:16:51.611
9.0, -233.17154253739864, -166.1861944310367, -169.23982274485752, -169.17063459567726, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116119945E9, 0.0, 2022-05-06 12:16:51.611
9.0, -254.0850630896166, -177.0057250028476, -176.62986505730078, -175.3414695225656, 0.1600000075995922, 0.11200000531971455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116119945E9, 0.0, 2022-05-06 12:16:51.611
10.0, -218.5447938106954, -62.920076854527, -112.58781821606681, -154.31201207172126, 0.1600000075995922, 0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116130154E9, 0.0, 2022-05-06 12:16:51.613
10.0, -195.00586348958313, -49.01886871922761, -96.15469781076536, -133.0245015239343, 0.1600000075995922, 0.11200000531971455, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116130154E9, 0.0, 2022-05-06 12:16:51.613
11.0, -240.21377415396273, -163.3401305647567, -167.96451685996726, -164.0432317564264, 0.1600000075995922, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116230428E9, 0.0, 2022-05-06 12:16:51.623
11.0, -249.61962254252285, -158.23890702519566, -169.23982274485752, -171.54547106754035, 0.1600000075995922, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116230428E9, 0.0, 2022-05-06 12:16:51.623
12.0, -197.17500546388328, -47.97543663159013, -89.82304718578234, -115.39835303276777, 0.0800000037997961, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116240113E9, 0.0, 2022-05-06 12:16:51.624
12.0, -191.606294429861, -56.47996913082898, -99.00450157700107, -130.29063465632498, 0.0800000037997961, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116240113E9, 0.0, 2022-05-06 12:16:51.624
13.0, -245.58053059037775, -167.28946491796523, -176.82807975495234, -171.7885645646602, 0.0800000037997961, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116541026E9, 0.0, 2022-05-06 12:16:51.654
13.0, -249.6046629427001, -155.49008055776358, -169.01916864747182, -156.35399744752795, 0.0800000037997961, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116541026E9, 0.0, 2022-05-06 12:16:51.654
14.0, -207.68412433937192, -58.00584831275046, -104.91728340694681, -140.5529201347381, 0.0800000037997961, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116550152E9, 0.0, 2022-05-06 12:16:51.655
14.0, -208.286248232238, -70.01466707047075, -114.4802075936459, -146.05431296955794, 0.0800000037997961, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116550152E9, 0.0, 2022-05-06 12:16:51.655
15.0, -247.03535167314112, -176.1156288133934, -184.16950336797163, -185.69725249987096, 0.0800000037997961, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116560087E9, 0.0, 2022-05-06 12:16:51.656
15.0, -235.14246981404722, -156.60831064451486, -164.99129639519379, -160.47162729874253, 0.0800000037997961, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116560087E9, 0.0, 2022-05-06 12:16:51.656
16.0, -203.3570600906387, -47.06664094235748, -92.35121955582872, -119.66557888220996, 0.0800000037997961, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116680634E9, 0.0, 2022-05-06 12:16:51.668
16.0, -215.45189654733986, -71.78737964946777, -113.10392440995201, -155.83789125364274, 0.0800000037997961, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116680634E9, 0.0, 2022-05-06 12:16:51.668
17.0, -250.8612693278119, -170.01211208570749, -176.11001896345988, -180.43147336225957, 0.0800000037997961, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116831007E9, 0.0, 2022-05-06 12:16:51.683
17.0, -254.8293031807989, -160.09389740321785, -166.3563598790206, -162.82776427082717, 0.0800000037997961, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116831007E9, 0.0, 2022-05-06 12:16:51.683
18.0, -202.29118860326707, -53.40577136725187, -99.9544361657463, -137.46750267129391, 0.0800000037997961, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116840167E9, 0.0, 2022-05-06 12:16:51.684
18.0, -203.75348948594183, -64.36741813737899, -107.64741037460044, -142.20595591515303, 0.0800000037997961, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518358116840167E9, 0.0, 2022-05-06 12:16:51.684
