%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
31.0, -35.0914812842384, -5.022685640491545, -25.42383989877999, -37.08858786057681, 0.0, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371378051224E9, 0.0, 2022-05-06 12:38:57.805
31.0, -220.9065406327136, 220.22400889080018, 213.20421667397022, 193.60340100619942, 0.0, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371378051224E9, 0.0, 2022-05-06 12:38:57.805
0.0, -314.15720612788573, -239.22831051563844, -258.0904959421605, -231.9018465024419, 0.0, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651837137830124E9, 0.0, 2022-05-06 12:38:57.830
1.0, -246.27802193211392, -94.99532882450148, -157.0346592394635, -177.5835395460017, 0.0, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371378431342E9, 0.0, 2022-05-06 12:38:57.843
1.0, -213.23974572354928, -82.82569436868653, -127.64278548769653, -161.53188893618062, 0.0, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371378431342E9, 0.0, 2022-05-06 12:38:57.843
2.0, -277.34537086403, -223.54691000143066, -225.2167753316462, -219.1936664530076, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371378601038E9, 0.0, 2022-05-06 12:38:57.860
2.0, -301.47146547818556, -238.0988607290201, -246.07045748457313, -229.10066143563017, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371378601038E9, 0.0, 2022-05-06 12:38:57.860
3.0, -240.49239670066163, -99.42711027199402, -150.97228141129017, -169.8756057373248, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371378611047E9, 0.0, 2022-05-06 12:38:57.861
3.0, -211.84102314012125, -75.63760665385053, -123.51767583657056, -145.40170042729005, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371378611047E9, 0.0, 2022-05-06 12:38:57.861
4.0, -262.42317004082724, -215.39766799798235, -208.1740512335673, -198.01461300393566, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371378721695E9, 0.0, 2022-05-06 12:38:57.872
4.0, -294.2758979634382, -227.73185805184767, -227.00444751046598, -207.23720629466698, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371378721695E9, 0.0, 2022-05-06 12:38:57.872
5.0, -246.0611077346839, -88.51408220129088, -156.41383584681898, -169.49787584180012, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371379042146E9, 0.0, 2022-05-06 12:38:57.904
5.0, -214.42903390945867, -76.20981134707108, -130.9563368484378, -167.22775656869635, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371379042146E9, 0.0, 2022-05-06 12:38:57.904
6.0, -282.76822579978034, -223.14300080621615, -217.94640981778502, -219.99774494348094, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651837137905099E9, 0.0, 2022-05-06 12:38:57.905
6.0, -297.2977371276356, -242.89715237217024, -247.65243516582996, -240.9449245953001, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651837137905099E9, 0.0, 2022-05-06 12:38:57.905
7.0, -245.4290646421723, -98.1779836867936, -158.67647532001138, -175.83326636673883, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371379061236E9, 0.0, 2022-05-06 12:38:57.906
7.0, -215.70807969430462, -70.85801451047882, -103.6401075720787, -124.46948037529364, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371379061236E9, 0.0, 2022-05-06 12:38:57.906
8.0, -264.19588261982426, -213.34820282226428, -207.92347793653607, -191.10327788582072, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371379071236E9, 0.0, 2022-05-06 12:38:57.907
8.0, -308.5286566945724, -231.88688690261915, -246.14525548368692, -244.96905694762245, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371379071236E9, 0.0, 2022-05-06 12:38:57.907
9.0, -248.26390880858526, -101.81316644372419, -173.68843374215066, -181.46555570000783, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651837137917238E9, 0.0, 2022-05-06 12:38:57.917
9.0, -212.14021513657644, -85.47728343727067, -133.3947516195476, -161.08684084145352, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651837137917238E9, 0.0, 2022-05-06 12:38:57.917
10.0, -277.05739856744185, -228.17316624661908, -212.0298880878836, -205.65522861341015, 0.06400000303983688, 0.06400000303983688, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371379321537E9, 0.0, 2022-05-06 12:38:57.932
10.0, -299.51549780135974, -233.7231777808629, -237.49486688617617, -218.25869146408513, 0.06400000303983688, 0.06400000303983688, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371379321537E9, 0.0, 2022-05-06 12:38:57.932
11.0, -225.58889537723735, -78.71554431738332, -149.1846092324704, -156.06415520096198, 0.06400000303983688, 0.09600000455975533, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651837137948213E9, 0.0, 2022-05-06 12:38:57.948
11.0, -212.31225053453818, -79.00351661397144, -123.25962273962796, -149.9793379730545, 0.06400000303983688, 0.09600000455975533, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651837137948213E9, 0.0, 2022-05-06 12:38:57.948
12.0, -284.54093837877735, -237.979183930438, -228.11893769726157, -222.047210119199, 0.09600000455975533, 0.09600000455975533, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371379491577E9, 0.0, 2022-05-06 12:38:57.949
12.0, -297.4922119253315, -232.04022280080244, -252.25999191123992, -222.46981881419197, 0.09600000455975533, 0.09600000455975533, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371379491577E9, 0.0, 2022-05-06 12:38:57.949
13.0, -240.66069219866768, -87.21633691666648, -160.50902629829943, -170.77318172669038, 0.09600000455975533, 0.09600000455975533, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518371379621475E9, 0.0, 2022-05-06 12:38:57.962
