%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -301.32934927986935, -250.44053058279678, -242.97382032126188, -223.4777218522504, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518372343569024E9, 0.0, 2022-05-06 12:40:34.356
1.0, -251.45404347078875, -119.46923413453624, -176.94214670360088, -172.7459789533168, 0.0, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518372343699443E9, 0.0, 2022-05-06 12:40:34.369
1.0, -200.9691339689307, -49.480746363755316, -115.45071163214743, -148.74704093765467, 0.0, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518372343699443E9, 0.0, 2022-05-06 12:40:34.369
2.0, -248.6191993043758, -184.11340486863628, -195.465871184133, -205.72067686263472, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518372343868966E9, 0.0, 2022-05-06 12:40:34.386
2.0, -288.65108843008056, -248.7313963030465, -244.0396918086335, -225.71792192570865, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518372343868966E9, 0.0, 2022-05-06 12:40:34.386
3.0, -264.0649861213751, -120.02273932797834, -172.02791816182435, -180.35667536314577, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518372343879008E9, 0.0, 2022-05-06 12:40:34.387
3.0, -193.60901085613295, -53.82651011226699, -118.08360120095313, -149.09859153348953, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518372343879008E9, 0.0, 2022-05-06 12:40:34.387
4.0, -263.8518118239008, -189.20340870833024, -198.92527864314616, -200.42123862542212, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518372343989851E9, 0.0, 2022-05-06 12:40:34.398
4.0, -315.3988529131748, -265.1121581089683, -260.13996111787856, -240.78971874713898, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518372343989851E9, 0.0, 2022-05-06 12:40:34.398
5.0, -260.53078066324815, -132.80197747657076, -175.30033062305301, -183.37477462738752, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518372344149404E9, 0.0, 2022-05-06 12:40:34.414
5.0, -204.0021928329952, -70.1997921182774, -119.51224298402667, -135.82194669079036, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518372344149404E9, 0.0, 2022-05-06 12:40:34.414
6.0, -247.37381261913106, -196.00628672773018, -199.542362135835, -206.82768724951893, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651837234415911E9, 0.0, 2022-05-06 12:40:34.415
6.0, -307.2084720102139, -263.8817310235463, -258.4158672383055, -246.39208888076246, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651837234415911E9, 0.0, 2022-05-06 12:40:34.415
7.0, -244.82320084935054, -119.39443613542244, -173.83428984042257, -184.91561340913177, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518372344289448E9, 0.0, 2022-05-06 12:40:34.428
7.0, -186.19278924399987, -51.28711804235354, -108.36360121611506, -136.37919178418815, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518372344289448E9, 0.0, 2022-05-06 12:40:34.428
8.0, -244.81946094939485, -175.96042296523228, -180.24447836447507, -170.47959958016872, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518372344449492E9, 0.0, 2022-05-06 12:40:34.444
8.0, -298.6852400111966, -236.2812693505548, -226.59679841529578, -211.60727939289063, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518372344449492E9, 0.0, 2022-05-06 12:40:34.444
9.0, -231.4231393081136, -95.71712951594964, -147.3296188544482, -156.0735049508512, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.65183723444589E9, 0.0, 2022-05-06 12:40:34.445
9.0, -200.28099237708375, -56.747371977660805, -119.18687168788165, -148.97891473490745, 0.06400000303983688, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.65183723444589E9, 0.0, 2022-05-06 12:40:34.445
10.0, -256.4767291112803, -208.58357027871534, -212.53477458190173, -214.1055325632915, 0.06400000303983688, 0.06400000303983688, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518372344759548E9, 0.0, 2022-05-06 12:40:34.475
10.0, -293.1614077766426, -254.5095417345874, -253.1164290010929, -239.98190035670996, 0.06400000303983688, 0.06400000303983688, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518372344759548E9, 0.0, 2022-05-06 12:40:34.475
11.0, -261.24136165482923, -118.56791824521497, -174.65332793071866, -191.69605202879757, 0.06400000303983688, 0.09600000455975533, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651837234476882E9, 0.0, 2022-05-06 12:40:34.476
