%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
71.0, 25.954905692487955, 78.22748737316579, 29.990257744677365, 22.862008429132402, 0.0, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367422250347E9, 0.0, 2022-05-06 12:32:22.225
71.0, 92.69716030173004, 212.09346638713032, 128.42068467848003, 83.75879940763116, 0.0, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367422250347E9, 0.0, 2022-05-06 12:32:22.225
0.0, -253.20618660002947, -194.97407433995977, -191.6810924289748, -193.05550566269085, 0.0, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836742258005E9, 0.0, 2022-05-06 12:32:22.258
1.0, -304.09126539714634, -242.7999149733223, -247.31958406977355, -226.66598656447604, 0.0, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836742287074E9, 0.0, 2022-05-06 12:32:22.287
1.0, -254.70588648226112, -117.5918043567799, -164.80991124734282, -174.64771808078513, 0.0, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836742287074E9, 0.0, 2022-05-06 12:32:22.287
2.0, -181.9012540448457, -47.6332357856445, -91.29843771830201, -109.4425623533316, 0.12800000607967377, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367422879865E9, 0.0, 2022-05-06 12:32:22.287
2.0, -236.339237799868, -175.5864329696633, -176.8972679041326, -173.61176579305902, 0.12800000607967377, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367422879865E9, 0.0, 2022-05-06 12:32:22.287
3.0, -321.8296108869836, -254.1729507385753, -259.4667791258544, -251.46526317065582, 0.12800000607967377, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367422890537E9, 0.0, 2022-05-06 12:32:22.289
3.0, -251.31005732249469, -114.25207369634882, -163.4149285638705, -180.0256942170672, 0.12800000607967377, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367422890537E9, 0.0, 2022-05-06 12:32:22.289
4.0, -190.55164264235646, -53.923747511114925, -99.14848772529513, -125.80836455943063, 0.12800000607967377, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367423019967E9, 0.0, 2022-05-06 12:32:22.301
4.0, -256.5720965601504, -186.58173883939162, -185.6860328000039, -186.27880694298074, 0.12800000607967377, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367423019967E9, 0.0, 2022-05-06 12:32:22.301
5.0, -304.4839548924938, -245.8367137373425, -246.47062677983195, -232.3506344971247, 0.12800000607967377, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367423160417E9, 0.0, 2022-05-06 12:32:22.316
5.0, -238.42610197514296, -114.42784899426624, -159.3309578122571, -169.75592893874273, 0.12800000607967377, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367423160417E9, 0.0, 2022-05-06 12:32:22.316
6.0, -197.2011847635731, -63.92423999262974, -106.26551734097302, -129.3388301176019, 0.12800000607967377, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367423170457E9, 0.0, 2022-05-06 12:32:22.317
6.0, -249.69816044159234, -183.15973037993535, -176.72897240612656, -173.5481874938123, 0.12800000607967377, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367423170457E9, 0.0, 2022-05-06 12:32:22.317
7.0, -314.65648277197033, -241.10948019335046, -246.156475183554, -219.9042474445887, 0.12800000607967377, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367423301156E9, 0.0, 2022-05-06 12:32:22.330
7.0, -235.8193917060271, -107.00414758222178, -166.27595202997327, -178.6606307332404, 0.12800000607967377, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367423301156E9, 0.0, 2022-05-06 12:32:22.330
8.0, -196.41954567283392, -62.768610906321555, -116.1276335241273, -156.1987915993668, 0.12800000607967377, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367423460834E9, 0.0, 2022-05-06 12:32:22.346
8.0, -273.2408306626603, -202.55111165018752, -198.4615310486406, -199.95936098089442, 0.12800000607967377, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367423460834E9, 0.0, 2022-05-06 12:32:22.346
9.0, -316.54139234963804, -253.04724085191265, -262.0061711957678, -238.4279719251208, 0.12800000607967377, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.65183674234704E9, 0.0, 2022-05-06 12:32:22.347
9.0, -247.79455136414617, -119.77216603094712, -172.8581759519875, -183.5486799753271, 0.12800000607967377, 0.12800000607967377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.65183674234704E9, 0.0, 2022-05-06 12:32:22.347
10.0, -199.00755644217134, -59.47375904535875, -110.38314719218761, -138.5689032082446, 0.12800000607967377, 0.12800000607967377, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.65183674236004E9, 0.0, 2022-05-06 12:32:22.360
10.0, -255.1621542768553, -189.2557673077099, -183.5281105255708, -180.94570960616693, 0.12800000607967377, 0.12800000607967377, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.65183674236004E9, 0.0, 2022-05-06 12:32:22.360
11.0, -294.9846090050414, -239.9837703066878, -244.73157330043614, -214.60854910733178, 0.12800000607967377, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367423760617E9, 0.0, 2022-05-06 12:32:22.376
11.0, -240.35589035227895, -100.89689095458016, -155.2170678609982, -172.03726791171357, 0.12800000607967377, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367423760617E9, 0.0, 2022-05-06 12:32:22.376
12.0, -202.26500930357724, -62.23006531270221, -111.0525892842561, -140.43511328613386, 0.06400000303983688, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836742376996E9, 0.0, 2022-05-06 12:32:22.376
12.0, -268.1994455223903, -208.8229238758795, -202.30988810304552, -201.47776036290452, 0.06400000303983688, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836742376996E9, 0.0, 2022-05-06 12:32:22.376
13.0, -309.49168093316257, -255.82224661903456, -254.9041011799127, -235.1293801642023, 0.06400000303983688, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836742390036E9, 0.0, 2022-05-06 12:32:22.390
13.0, -222.63998426217586, -87.03682171879336, -150.24300091993064, -159.95365115487948, 0.06400000303983688, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.651836742390036E9, 0.0, 2022-05-06 12:32:22.390
14.0, -206.86882614903152, -77.58983443072066, -118.73060389328748, -138.32580971112475, 0.06400000303983688, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367424060547E9, 0.0, 2022-05-06 12:32:22.406
14.0, -277.29862211458385, -232.0589223005809, -216.6598842330277, -191.97841447545215, 0.06400000303983688, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367424060547E9, 0.0, 2022-05-06 12:32:22.406
15.0, -296.8171599833295, -230.1328738234006, -237.55096538551152, -218.07917626621202, 0.06400000303983688, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367424070203E9, 0.0, 2022-05-06 12:32:22.407
15.0, -216.44297003559768, -64.99759127991274, -138.67549035698175, -149.70258537633345, 0.06400000303983688, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367424070203E9, 0.0, 2022-05-06 12:32:22.407
16.0, -196.0156364776194, -72.73544428823516, -114.62419374193996, -140.46129258582368, 0.06400000303983688, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367424200408E9, 0.0, 2022-05-06 12:32:22.420
16.0, -277.6913116099313, -223.33747560391203, -218.44755641184747, -225.39442057954147, 0.06400000303983688, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367424200408E9, 0.0, 2022-05-06 12:32:22.420
17.0, -310.0788452262059, -232.80690229171887, -250.21426663547754, -231.72981110448018, 0.06400000303983688, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367424360893E9, 0.0, 2022-05-06 12:32:22.436
17.0, -225.57206582743675, -72.82520188717172, -136.356752384454, -155.11422061221674, 0.06400000303983688, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367424360893E9, 0.0, 2022-05-06 12:32:22.436
18.0, -192.0588223244995, -71.0898883077316, -112.93375896196812, -150.54406286636367, 0.06400000303983688, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367424369972E9, 0.0, 2022-05-06 12:32:22.436
18.0, -272.48911077156663, -228.7939896392636, -208.42462453059852, -210.191727259662, 0.06400000303983688, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367424369972E9, 0.0, 2022-05-06 12:32:22.436
19.0, -306.6306574670598, -234.0522889769636, -242.4128353279084, -223.33747560391203, 0.06400000303983688, 0.06400000303983688, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6518367424501257E9, 0.0, 2022-05-06 12:32:22.450
